index,date of death,name,age,bio,cause of death,Unnamed: 5,Unnamed: 6
1295,2016-03-04,P. A. Sangma,68,"Indian politician, Speaker of the Lok Sabha (1996–1998), Chief Minister of Meghalaya (1988–1990)", heart attack,,
1296,2016-03-04,Ge Cunzhuang,87,Chinese actor, heart failure,,
1297,2016-03-04,Pat Conroy,70,"American author (The Prince of Tides, The Great Santini, The Lords of Discipline)", pancreatic cancer,,
1298,2016-03-04,Morgan F. Murphy,83,"American politician, member of the US House of Representatives from Illinois's 3rd congressional district (1971–1981)", prostate cancer,,
1299,2016-03-04,Bankroll Fresh,28,American rapper, shot,,
1300,2016-03-04,Domenico Maselli,82,Italian politician.,,,
1301,2016-03-04,George Ndung’u Mwicigi,83,Kenyan politician.,,,
1302,2016-03-04,Marilyn Stokstad,87,American art historian.,,,
1303,2016-03-04,Pirro Cuniberti,92,Italian artist.,,,
1304,2016-03-04,Theodor Cazaban,95,French writer.,,,
1305,2016-03-04,Vincenzo Franco,98,Italian Roman Catholic prelate,,,
1306,2016-03-04,Enriquito López,60,"Dominican Republic politician, member of the Senate (2000–2004)",,,
1307,2016-03-04,Jane Plant,71,British geochemist.,,,
1308,2016-03-04,Jerry Dolyn Brown,73,American pottery artist.,,,
1309,2016-03-04,William H. Plackett,78,"American naval non-commissioned officer, 6th MCPON (1985–1988)",,,
1310,2016-03-04,Ramón Palomares,80,Venezuelan poet.,,,
1311,2016-03-04,Joseph Rwegasira,81,"Tanzanian diplomat, Minister of Foreign Affairs (1993–1995), Ambassador to Zambia.",,,
1312,2016-03-04,Bill Michael,81,American football coach (UTEP 1977–1981),,,
1313,2016-03-04,Taha Jabir Alalwani,81,Iraqi-born American Islamic theologian.,,,
1314,2016-03-04,P. K. Nair,82,Indian film archivist.,,,
1315,2016-03-04,Yuri Kuznetsov,83,Azerbaijani Soviet football player and coach (Neftchi).,,,
1316,2016-03-04,Thea Knutzen,85,"Norwegian politician, MP (1985–1993)",,,
1317,2016-03-04,Harry Turbott,85,New Zealand architect and landscape architect.,,,
1318,2016-03-04,Bud Collins,86,American sports journalist.,,,
1319,2016-03-04,"John Brooks, Baron Brooks of Tremorfa",88,"Welsh politician and boxing executive, president of the British Boxing Board of Control and Welsh Sports Hall of Fame",,,
1320,2016-03-04,Adriana Innocenti,89,"Italian actress (Eye of the Cat, Lobster for Breakfast, The Cat).",,,
1321,2016-03-04,David M. Gates,94,American ecologist.,,,
1322,2016-03-04,Thomas G. Morris,96,"American politician, member of the US House of Representatives for New Mexico's at-large district (1959–1969) and New Mexico House (1953–1958)",,,
1323,2016-03-04,Julio Lacarte Muró,97,Uruguayan diplomat and politician.,,,
1324,2016-03-04,Zhou Xiaoyan,98,Chinese vocal pedagogue and classical soprano.,,,
1325,2016-03-05,Robert Redbird,76,American Kiowa artist, Alzheimer's disease,,
1326,2016-03-05,David Abbott,81,British-born New Zealand cricket umpire, cancer,,
1327,2016-03-05,Chip Hooper,53,"American musical agent (Dave Matthews, Phish)", cancer,,
1328,2016-03-05,Paul Couch,51,Australian footballer (Geelong), heart attack,,
1329,2016-03-05,Ray Tomlinson,74,"American computer programmer, invented system to send first email and assigned use of @ sign", heart attack,,
1330,2016-03-05,Caesar Belser,71,"American football player (Kansas City Chiefs), Super Bowl winner (1970)", lung cancer,,
1331,2016-03-05,Jim MacNeill,87,Canadian environmentalist and senior Cabinet adviser, pneumonia,,
1332,2016-03-05,Stephen H. Webb,54,American theologian.,suicide,,
1333,2016-03-05,Helle-Vibeke Erichsen,76,Danish artist.,,,
1334,2016-03-05,"John Douglas, 21st Earl of Morton",88,British aristocrat.,,,
1335,2016-03-05,Antoni Asunción,64,"Spanish politician, Minister of Interior (1993–1994)",,,
1336,2016-03-05,Alan Henry,68,British motorsport journalist.,,,
1337,2016-03-05,Giorgio Ariani,74,Italian comedian and actor (Pinocchio).,,,
1338,2016-03-05,Hassan Al-Turabi,84,"Sudanese Islamic spiritual leader, member of the National Assembly",,,
1339,2016-03-05,"John Evans, Baron Evans of Parkside",85,"British politician, MP for Newton (1974–1983) and St Helens North (1983–1997)",,,
1340,2016-03-05,Sture Eskilsson,85,Swedish economist.,,,
1341,2016-03-05,James Douglas,86,"American actor (As the World Turns, Peyton Place, G.I. Blues).",,,
1342,2016-03-05,Nikolaus Harnoncourt,86,"Austrian conductor and cellist (Vienna Symphony), founder of Concentus Musicus Wien",,,
1343,2016-03-05,Rafael Squirru,90,Argentine author.,,,
1344,2016-03-05,Henry Hobhouse,91,British author (Seeds of Change: Five Plants That Transformed Mankind).,,,
1345,2016-03-05,Panayiotis Tetsis,91,Greek painter.,,,
1346,2016-03-05,Even Hansen,92,"Norwegian footballer (Odd, national team)",,,
1347,2016-03-05,Al Wistert,95,"American football player (Philadelphia Eagles, Michigan Wolverines), NFL Champion (1948, 1949).",,,
1348,2016-03-05,Harriet Cornelia Mills,95,American academic and sinologist.,,,
1349,2016-03-05,Lester Menke,97,"American politician, member of the Iowa House of Representatives (1973–1985)",,,
1350,2016-03-05,Julio César Chalar,,Uruguayan lawyer and judge.,,,
1351,2016-03-06,Elizabeth Garrett,52,"American educator, president of Cornell University (since 2015)", colon cancer,,
1352,2016-03-06,Elizabeth Strohfus,96,"American military pilot (WASP), recipient of two Congressional Gold Medals", complications from a fall,,
1353,2016-03-06,Gary Smalley,75,"American family counselor, Christian and relationship author", complications from heart and kidney disease,,
1354,2016-03-06,Francis Pasion,38,Filipino director (On the Wings of Love), heart attack,,
1355,2016-03-06,Nancy Reagan,94,"American First Lady (1981–1989) and actress (Hellcats of the Navy, Donovan's Brain, The Next Voice You Hear...)", heart failure,,
1356,2016-03-06,Kalabhavan Mani,45,Indian actor and singer, liver cirrhosis and methyl alcohol poisoning,,
1357,2016-03-06,Sheila Varian,78,American horse breeder (Arabian horses), ovarian cancer,,
1358,2016-03-06,Harold H. Saunders,85,American diplomat, prostate cancer,,
1359,2016-03-06,James Ocholi,55,Nigerian politician, traffic collision,,
1360,2016-03-06,Joseph Kumuondala Mbimba,75,Congolese Roman Catholic prelate,,,
1361,2016-03-06,D. G. Jones,87,Canadian poet.,,,
1362,2016-03-06,Joan Brown,90,British potter.,,,
1363,2016-03-06,Paolo Giglio,89,"Maltese Roman Catholic prelate and diplomat, Apostolic nuncio (1986–2002)",,,
1364,2016-03-06,Gaspar Rosety,57,Spanish journalist.,,,
1365,2016-03-06,Barbara Almond,77,American psychiatrist.,,,
1366,2016-03-06,Aldo Ralli,80,"Italian actor (Il Divo, Crime in Formula One)",,,
1367,2016-03-06,Arto Koivisto,85,Finnish basketball player.,,,
1368,2016-03-06,Jerry Bridges,86,"American evangelical Christian author, speaker and administrator (The Navigators)",,,
1369,2016-03-06,Wally Bragg,86,English footballer (Brentford).,,,
1370,2016-03-06,Elwyn L. Simons,87,American paleontologist.,,,
1371,2016-03-06,Ernest George Mardon,87,British-born Canadian historian.,,,
1372,2016-03-06,Akira Tago,90,Japanese psychologist.,,,
1373,2016-03-06,Znaur Gassiev,90,South Ossetian politician.,,,
1374,2016-03-06,María Rostworowski,100,Peruvian historian.,,,
1375,2016-03-07,Khalid Mahmood Mithu,55,Bangladeshi film director (Gohine Shobdo), falling tree,,
1376,2016-03-07,Leonard Berney,95,"British military officer, a liberator of Bergen-Belsen", heart attack,,
1377,2016-03-07,Michael White,80,"Scottish film and theatre producer (Monty Python and the Holy Grail, The Rocky Horror Picture Show), Tony winner (1971)", heart failure,,
1378,2016-03-07,Raymond Conway Benjamin,91,Australian Roman Catholic prelate,,,
1379,2016-03-07,Quentin Young,93,American physician.,,,
1380,2016-03-07,Des O'Reilly,61,Australian rugby league player (Sydney Roosters).,,,
1381,2016-03-07,Adrian Hardiman,64,"Irish judge, member of the Supreme Court (since 2000)",,,
1382,2016-03-07,Paul Ryan,66,"American comic artist (Fantastic Four, Superman, The Phantom).",,,
1383,2016-03-07,Gary Braasch,70,American environmental photographer.,,,
1384,2016-03-07,Béla Kuharszki,75,Hungarian footballer (Újpesti Dózsa).,,,
1385,2016-03-07,Scott Goodall,80,British comic book writer (Fishboy).,,,
1386,2016-03-07,Bobby Johns,83,"American race car driver (NASCAR, Indianapolis 500)",,,
1387,2016-03-07,Steve Kraly,86,"American baseball player (New York Yankees), World Series Champion (1953)",,,
1388,2016-03-07,Bill Cooper,87,British sailor.,,,
1389,2016-03-07,Jean-Bernard Raimond,90,"French politician, Minister of Foreign Affairs (1986–1988), ambassador to Morocco, Poland, the Soviet Union and the Vatican.",,,
1390,2016-03-07,Min Enze,92,Chinese chemist and academician (Chinese Academy of Sciences and Engineering).,,,
1391,2016-03-07,Joe Cabot,94,American jazz musician and band leader.,,,
1392,2016-03-08,Ross Hannaford,65,Australian musician (Daddy Cool), cancer,,
1393,2016-03-08,David S. Johnson,70,American computer scientist.,,,
1394,2016-03-08,Dieter Fänger,90,German fencer.,,,
1395,2016-03-08,John Jones,90,"British Olympic water polo player (1952, 1956)",,,
1396,2016-03-08,Alfred E. Senn,83,"American historian and academic, awarded Order of Vytautas the Great for service to Lithuania",,,
1397,2016-03-08,Jerome Heckenkamp,36,Australian-born American computer hacker.,,,
1398,2016-03-08,Mohamed Allek,42,"Algerian athlete, Paralympic champion (1996, 2000).",,,
1399,2016-03-08,Saji Paravoor,48,Indian film director.,,,
1400,2016-03-08,Luigi Corioni,78,"Italian bathroom furnishings and football executive (Brescia Calcio, AC Milan, Bologna).",,,
1401,2016-03-08,Ron Jacobs,78,"American broadcaster, co-creator of American Top 40",,,
1402,2016-03-08,Richard Davalos,85,"American actor (Cool Hand Luke, East of Eden, Kelly's Heroes).",,,
1403,2016-03-08,Claus Ogerman,86,German jazz conductor and arranger.,,,
1404,2016-03-08,Aldo Ferrer,88,Argentine economist.,,,
1405,2016-03-08,Esko Karhunen,88,Finnish basketball player and contributor.,,,
1406,2016-03-08,M. V. Rao,88,Indian agricultural scientist.,,,
1407,2016-03-08,Sir George Martin,90,"British Hall of Fame record producer (The Beatles), composer, arranger and engineer, six-time Grammy Award winner.",,,
1408,2016-03-09,Sergio Arellano Stark,94,"Chilean military officer, leader of the Caravan of Death", Alzheimer's disease,,
1409,2016-03-09,Tina St. Claire,31,American artist, cancer,,
1410,2016-03-09,Ralph S. Larsen,77,"American consumer products executive, CEO and Chairman of Johnson & Johnson", cardiac arrest,,
1411,2016-03-09,William Russell Houck,89,"American Roman Catholic prelate, Bishop of Jackson (1984–2003)", complications from heart surgery,,
1412,2016-03-09,John Gutfreund,86,American investor (Salomon Brothers), complications from pneumonia,,
1413,2016-03-09,Jon English,66,English-born Australian musician and actor (Against the Wind), complications from surgery,,
1414,2016-03-09,Ray Griff,75,"Canadian country music singer (""If I Let Her Come In"") and songwriter (""Canadian Pacific"")", complications of pneumonia from surgery,,
1415,2016-03-09,Coy Wayne Wesbrook,58,American convicted mass murderer, execution by lethal injection,,
1416,2016-03-09,Naná Vasconcelos,71,"Brazilian jazz percussionist and vocalist, eight-time Grammy Award winner", lung cancer,,
1417,2016-03-09,Bruno Agostinelli,28,Canadian tennis player (Davis Cup), traffic collision,,
1418,2016-03-09,Reinhold Remmert,85,German mathematician.,,,
1419,2016-03-09,Giancarlo Ibarguen,53,"Guatemalan businessman and academic, president of Universidad Francisco Marroquín (2003–2013)",,,
1420,2016-03-09,Karen Carroll,58,American blues singer.,,,
1421,2016-03-09,Gary Jeter,61,"American football player (Los Angeles Rams, New York Giants)",,,
1422,2016-03-09,Léon Francioli,69,Swiss double bass player.,,,
1423,2016-03-09,John Pennebaker,72,"American politician, member of the Mississippi House of Representatives (1975–1992)",,,
1424,2016-03-09,James McNamara,76,"Irish long-distance runner, M50 10000 metre world record holder (1989–1991)",,,
1425,2016-03-09,Ted Szilva,81,Canadian monument creator (Big Nickel).,,,
1426,2016-03-09,Bill Wade,85,"American football player (Los Angeles Rams, Chicago Bears), NFL Champion (1963).",,,
1427,2016-03-09,Clyde Lovellette,86,"American basketball player (Minneapolis Lakers, St Louis Hawks, Boston Celtics), NBA champion (1954, 1963, 1964), Olympic champion (1952)",,,
1428,2016-03-09,Robert Horton,91,American actor (Wagon Train).,,,
1429,2016-03-09,Lawrence E. Bennett,92,"American politician, member of the New York State Assembly (1983–1994)",,,
1430,2016-03-09,Galagama Sri Aththadassi Thera,94,"Sri Lankan Buddhist monk, Mahanayaka of the Asgiriya Chapter of Siyam Nikaya (since 2015)",,,
1431,2016-03-09,Ivan Rohrt,95,"Australian sports administrator, President of Carlton Football Club (1974–1977)",,,
1432,2016-03-10,Jovito Salonga,95,"Filipino politician, Senate President (1987–1992)", cardiac arrest,,
1433,2016-03-10,William Dyke,85,"American politician, mayor of Madison, Wisconsin (1969–1973)", complications from pancreatic cancer,,
1434,2016-03-10,Roberto Perfumo,73,"Argentine footballer (Racing Club, Cruzeiro, national team)", fall,,
1435,2016-03-10,Keith Emerson,71,"English progressive rock and rock keyboardist (The Nice; Emerson, Lake & Palmer)", suicide by gunshot,,
1436,2016-03-10,Mohammad Irfan,64,"Indian politician, Uttar Pradesh MLA for Bilari (since 2012)", traffic collision,,
1437,2016-03-10,Daniel Buess,40,Swiss drummer.,drowning,,
1438,2016-03-10,Andreas Henrisusanta,80,Indonesian Roman Catholic prelate,,,
1439,2016-03-10,Kostas Koutsomytis,77,Greek film director and screenwriter.,,,
1440,2016-03-10,Hans Kleefeld,86,"Canadian graphic designer (Air Canada, TD Bank)",,,
1441,2016-03-10,Joan Bates,86,British Sealandic princess.,,,
1442,2016-03-10,Anita Brookner,87,"British novelist (Hotel du Lac) and art historian, Man Booker Prize winner (1984)",,,
1443,2016-03-10,Ernestine Anderson,87,American jazz vocalist.,,,
1444,2016-03-10,Bill Gadsby,88,"Canadian Hall of Fame ice hockey player (Detroit Red Wings, Chicago Blackhawks, New York Rangers).",,,
1445,2016-03-10,Andrew Gotianun,88,"Filipino real estate and financial sector executive, founder of Filinvest",,,
1446,2016-03-10,Fangge Dupan,89,Taiwanese poet.,,,
1447,2016-03-10,Claude Estier,90,"French politician and journalist, member of the National Assembly for Paris (1967–1968, 1981–1986), MEP for France (1979–1981).",,,
1448,2016-03-10,Roberts Bishop Owen,90,American lawyer and diplomat.,,,
1449,2016-03-10,Gogi Grant,91,"American pop singer (""The Wayward Wind"").",,,
1450,2016-03-10,Sir Ken Adam,95,"German-born British production designer (Dr. Strangelove, James Bond, The Madness of King George), Oscar winner (1975, 1994).",,,
1451,2016-03-11,Lawrence Van Gelder,83,American newspaper journalist (The New York Times), leiomyosarcoma,,
1452,2016-03-11,Iolanda Balaș,79,"Romanian high jumper, Olympic champion (1960, 1964), director of the FRA (1988–2005).",complications from a gastric disorder,,
1453,2016-03-11,Joe Ascione,54,American jazz drummer.,multiple sclerosis,,
1454,2016-03-11,Geoffrey Eglinton,88,British chemist.,,,
1455,2016-03-11,Nicole Maurey,89,French actress.,,,
1456,2016-03-11,Vasco Nunes,41,"Portuguese cinematographer and cameraman (Planet B-Boy, Anvil! The Story of Anvil, Rampart).",,,
1457,2016-03-11,François-Eudes Chanfrault,41,"French composer (The Hills Have Eyes, High Tension)",,,
1458,2016-03-11,Louis Meyers,60,"American festival organizer, co-founder of South by Southwest, director of Folk Alliance International, suspected heart attack.",,,
1459,2016-03-11,Doreen Massey,72,British geographer.,,,
1460,2016-03-11,Dragan Nikolić,72,Serbian actor.,,,
1461,2016-03-11,Gerard Reedy,76,"American Jesuit priest and academic, president of the College of the Holy Cross (1994–1998)",,,
1462,2016-03-11,Shawn Elliott,79,"American singer and actor (The Dead Pool, Broken City, Law & Order).",,,
1463,2016-03-11,Billy Ritchie,79,"Scottish footballer (Rangers, Partick Thistle)",,,
1464,2016-03-11,Antonio Cabangon Chua,81,"Filipino real estate, financial executive and diplomat, Ambassador to Laos, founder of Citystate Savings Bank.",,,
1465,2016-03-11,Rómulo Macció,84,Argentine painter.,,,
1466,2016-03-11,Sel Belsham,85,"New Zealand rugby league player (Auckland, national team) and cricketer (Auckland)",,,
1467,2016-03-11,Tita Kovač Artemis,85,Slovene-born Greek chemist and writer.,,,
1468,2016-03-11,Brenda Naylor,89,British sculptor.,,,
1469,2016-03-11,Ruth Terry,95,American singer and actress (Pistol Packin' Mama).,,,
1470,2016-03-11,Ben Bagdikian,96,Armenian-American educator and journalist.,,,
1471,2016-03-11,Deva Dassy,104,French opera singer.,,,
1472,2016-03-12,Donnie Duncan,75,American football coach (Iowa State), cancer,,
1473,2016-03-12,Rafiq Azad,74,Bangladeshi poet, stroke,,
1474,2016-03-12,Verena Huber-Dyson,92,American mathematician.,,,
1475,2016-03-12,Harry Kartz,102,"British businessman, Aston Villa chairman (1978–1980)",,,
1476,2016-03-12,Helmut Veith,45,Austrian computer scientist.,,,
1477,2016-03-12,Erik Duval,50,Belgian computer scientist.,,,
1478,2016-03-12,Mohammed Khalfan Bin Kharbash,60,"Emirati politician, Minister of State for Finance and Industry Affairs (1997–2007)",,,
1479,2016-03-12,Christopher Armishaw,63,English cricketer (Derbyshire).,,,
1480,2016-03-12,Rudolf Sarközi,71,Austrian Romani activist.,,,
1481,2016-03-12,Bill Whitby,72,American baseball player (Minnesota Twins).,,,
1482,2016-03-12,Felix Ibru,80,"Nigerian politician, Governor of Delta State (1992–1993)",,,
1483,2016-03-12,Mo Abbaro,82,Sudanese-born British potter.,,,
1484,2016-03-12,Tommy Brown,84,American R&B singer.,,,
1485,2016-03-12,John Caldwell,87,Australian demographer.,,,
1486,2016-03-12,Annastasia Batikis,88,American baseball player (Racine Belles).,,,
1487,2016-03-12,Eliot Gant,89,American executive (Gant).,,,
1488,2016-03-12,Lloyd Shapley,92,"American mathematician and economist, laureate of the Nobel Memorial Prize in Economic Sciences (2012)",,,
1489,2016-03-12,Pierce Lively,94,"American federal judge, US Court of Appeals for the Sixth Circuit (1972–1989)",,,
1490,2016-03-12,Morton Hunt,96,American psychologist and science writer.,,,
1491,2016-03-12,Richard Fowler, 67–68,American naturalist and wilderness guide.,,,
1492,2016-03-13,Darryl Hunt,50,American justice reform activist, apparent suicide by gunshot,,
1493,2016-03-13,Adrienne Corri,85,"British actress (Doctor Zhivago, A Clockwork Orange, Doctor Who)", heart failure,,
1494,2016-03-13,Sai Prashanth,30,Indian actor, suspected suicide by poison,,
1495,2016-03-13,József Verebes,74,Hungarian football player and coach.,,,
1496,2016-03-13,Masanobu Deme,83,"Japanese film director (Station to Heaven, Baruto no Gakuen)",,,
1497,2016-03-13,Trent Baker,25,Australian baseball player (Brisbane Bandits).,,,
1498,2016-03-13,Jon Roehlk,54,American arena football player.,,,
1499,2016-03-13,Bo Nat Khann Mway,55,"Burmese Karen military officer, commander-in-chief of DKBA, neck cancer.",,,
1500,2016-03-13,Lord Michael Jones,68,Scottish judge.,,,
1501,2016-03-13,Ken Broderick,74,"Canadian ice hockey player (Edmonton Oilers, Boston Bruins), Olympic bronze medallist (1968).",,,
1502,2016-03-13,Martin Olav Sabo,78,"American politician, member of the US House of Representatives for Minnesota's 5th district (1979–2007)",,,
1503,2016-03-13,Keith Ollerenshaw,87,Australian long-distance runner.,,,
1504,2016-03-13,Hilary Putnam,89,"American philosopher, mathematician and computer scientist",,,
1505,2016-03-13,Henry Porter,94,"Canadian vice-admiral, Commander Maritime Command (1970–1971)",,,
1506,2016-03-13,Sidney Mear,97,American trumpeter.,,,
1507,2016-03-14,Mónica Arriola Gordillo,44,"Mexican politician, member of the Chamber of Deputies (2006–2009)", cancer,,
1508,2016-03-14,Sir Peter Maxwell Davies,81,"English composer and conductor, Master of the Queen's Music (2004–2014)", leukaemia,,
1509,2016-03-14,John W. Cahn,88,"German-born American metallurgist, awarded National Medal of Science (1998), namesake of Cahn–Hilliard equation", leukemia,,
1510,2016-03-14,Patrick Cain,53,American football player (Detroit Lions), lung cancer,,
1511,2016-03-14,Virgilio Elizondo,80,American Roman Catholic priest and theologian, suicide by gunshot,,
1512,2016-03-14,"Lloyd R. Leavitt, Jr",87,American air force lieutenant general.,,,
1513,2016-03-14,Vic Schwenk,91,American football player and coach.,,,
1514,2016-03-14,Tamara Grigsby,41,"American politician, member of the Wisconsin State Assembly (2004–2012)",,,
1515,2016-03-14,Suranimala Rajapaksha,67,"Sri Lankan politician and minister, MP (1994–2004)",,,
1516,2016-03-14,Leilani Muir,71,Canadian human rights activist.,,,
1517,2016-03-14,Nicolau Breyner,75,"Portuguese playwright, director and actor",,,
1518,2016-03-14,Surangani Ellawala,76,"Sri Lankan politician, Governor of the Central Province (2015–2016)",,,
1519,2016-03-14,Ahmed Baba Miské,80,"Mauritanian politician and diplomat, Ambassador to the United States (1964–1966), Permanent Representative to the United Nations (1964–1966).",,,
1520,2016-03-14,Arkangelo Bari Wanji,80,"South Sudanese politician and academic, member of the National Assembly (since 2010)",,,
1521,2016-03-14,Hans-Martin Pawlowski,84,German lawyer and academic.,,,
1522,2016-03-14,Lilly Dubowitz,85,Hungarian-born British paediatrician.,,,
1523,2016-03-14,June Peppas,86,American AAGPBL baseball player (Kalamazoo Lassies).,,,
1524,2016-03-14,Geoffrey Hartman,86,German-born American literary critic.,,,
1525,2016-03-14,Peter Lerche,88,German jurist.,,,
1526,2016-03-14,Riccardo Garrone,89,"Italian actor (La Dolce Vita, The Yellow Rolls-Royce, Swordsman of Siena).",,,
1527,2016-03-14,Davy Walsh,92,Irish footballer.,,,
1528,2016-03-15,Sebastian Rahtz,61,British digital humanities researcher, brain cancer,,
1529,2016-03-15,Ralph C. Johnson,62,"American politician, member of the North Carolina House of Representatives (since 2015)", complications from a stroke,,
1530,2016-03-15,Lincoln Myers,66,Trinidadian politician, Environment and National Service minister and MP for St Ann's East,,
1531,2016-03-15,Better Loosen Up,30,"Australian Thoroughbred racehorse, winner of the Japan Cup and Racehorse of the Year (1990)", euthanised,,
1532,2016-03-15,Seru Rabeni,37,"Fijian rugby union player (national team, Leicester Tigers)", suspected heart attack,,
1533,2016-03-15,John Ene Okon,47,Nigerian football player and coach (national team).,,,
1534,2016-03-15,Daryl Coley,60,American gospel singer.,,,
1535,2016-03-15,Ryo Fukui,67,Japanese pianist.,,,
1536,2016-03-15,Thanh Tùng,67,Vietnamese songwriter.,,,
1537,2016-03-15,Vladimir Yurin,68,Russian football coach and player (FC Torpedo Moscow).,,,
1538,2016-03-15,Earline W. Parmon,72,"American politician, member of the North Carolina House of Representatives (2002–2012) and Senate (2012–2015)",,,
1539,2016-03-15,Prince Mfanasibili of Swaziland,77,Swazi royal.,,,
1540,2016-03-15,Lyubka Rondova,79,Bulgarian folk singer.,,,
1541,2016-03-15,Serge Kampf,81,"French consulting executive, founder and chairman of Capgemini",,,
1542,2016-03-15,Richard Burke,83,"Irish politician, member of the Dáil Éireann for Dublin County South and Dublin West, European Commissioner (1977–1980, 1982–1984).",,,
1543,2016-03-15,Paul Lange,85,"German sprint canoeist, Olympic champion (1960)",,,
1544,2016-03-15,Jean Defraigne,86,"Dutch-born Belgian politician, member of the Chamber of Representatives (1965–1974, 1977–1989) and Senate (1974–1977).",,,
1545,2016-03-15,Alice Pollitt,86,American AAGPBL baseball player (Rockford Peaches).,,,
1546,2016-03-15,Robert Carrickford,88,Irish actor (The Irish R.M. Glenroe),,,
1547,2016-03-15,Sylvia Anderson,88,British television producer and voice actress (Thunderbirds).,,,
1548,2016-03-15,André Bénard,93,"French oil and transit executive, co-chairman of the Eurotunnel",,,
1549,2016-03-15,"Asa Briggs, Baron Briggs",94,"British historian, codebreaker and life peer",,,
1550,2016-03-15,Jan Pronk,97,"Dutch cyclist, world champion in motor-paced racing (1951)",,,
1551,2016-03-16,"Frank Sinatra, Jr",72,American singer (That Face!) and actor (Hollywood Homicide), heart attack,,
1552,2016-03-16,Ali Ahmed Hussain Khan,76,Indian shehnai musician, kidney disease,,
1553,2016-03-16,William B. Bader,84,"American civil servant, Assistant Secretary of State for Educational and Cultural Affairs (1999–2001)",,,
1554,2016-03-16,Gene Short,62,"American basketball player (Seattle SuperSonics, New York Knicks), bronze medalist at the 1974 FIBA World Championship., New York Knicks), bronze medalist at the 1974 FIBA World Championship.",,,
1555,2016-03-16,Garry Lefebvre,71,Canadian CFL football player (Edmonton Eskimos).,,,
1556,2016-03-16,Alan Spavin,74,"English footballer (Preston North End, Dundalk)",,,
1557,2016-03-16,Georges Tarabichi,77,Syrian writer and translator.,,,
1558,2016-03-16,Wilson Ndolo Ayah,84,"Kenyan diplomat and politician, Foreign Minister (1990–1993), MP for Kisumu (1992–1997).",,,
1559,2016-03-16,George Menzies,85,"New Zealand rugby league player and coach (West Coast, national team)",,,
1560,2016-03-16,Vladimiras Beriozovas,86,"Lithuanian politician, member of the Supreme Soviet of the Lithuanian SSR (1985–1990), Seimas for Kėdainiai (1990–1992).",,,
1561,2016-03-16,Brian Smyth,91,Irish Gaelic footballer and hurler (Meath).,,,
1562,2016-03-16,Alexander Esenin-Volpin,91,Soviet-born American poet and mathematician.,,,
1563,2016-03-16,George McLean,92,Canadian journalist and news anchor (The National).,,,
1564,2016-03-16,Oleg Eremeev,93,Soviet Russian painter.,,,
1565,2016-03-17,Charles Kaufman,87,American educator (Mannes College of Music), acute myeloid leukemia,,
1566,2016-03-17,Larry Drake,67,"American actor (L.A. Law, Johnny Bravo, Darkman), Emmy winner (1988, 1989)", blood cancer,,
1567,2016-03-17,Subrata Maitra,59,Indian cardiologist, brain cancer,,
1568,2016-03-17,Paul Daniels,77,British magician (The Paul Daniels Magic Show), brain tumour,,
1569,2016-03-17,Meir Dagan,71,"Israeli military officer and intelligence official, Director of Mossad (2002–2011)", cancer,,
1570,2016-03-17,Trần Lập,42,Vietnamese rock singer, colorectal cancer,,
1571,2016-03-17,Ralph David Abernathy III,56,"American politician, member of the Georgia House of Representatives (1988–1992) and State Senate (1992–1998)", liver cancer,,
1572,2016-03-17,David McSkimming,66,"Australian pianist, opera repetiteur and vocal coach", motor neurone disease,,
1573,2016-03-17,Gaúcho,52,Brazilian football coach and player (Flamengo), prostate cancer,,
1574,2016-03-17,Sandy McDonald,78,"Scottish Christian minister, Moderator of the General Assembly of the Church of Scotland (1997–1998)", pulmonary fibrosis,,
1575,2016-03-17,Jun Shiraoka,71,Japanese photographer.,,,
1576,2016-03-17,Jean Prodromidès,88,French composer.,,,
1577,2016-03-17,Solomon Marcus,91,Romanian mathematician.,,,
1578,2016-03-17,Alexander Prokhorenko,25,Russian soldier.,,,
1579,2016-03-17,Zoltán Kamondi,55,Hungarian film director (Paths of Death and Angels).,,,
1580,2016-03-17,Ilkka Ruohonen,57,Finnish cultural anthropologist and documentary film maker.,,,
1581,2016-03-17,Pat Sobeski,64,"Canadian politician, MP for Cambridge (1988–1993)",,,
1582,2016-03-17,Claudine K. Brown,67,American museum director (Smithsonian Institution).,,,
1583,2016-03-17,Steve Young,73,"American outlaw country music singer–songwriter (""Seven Bridges Road"").",,,
1584,2016-03-17,Marian Kociniak,80,Polish actor (How I Unleashed World War II).,,,
1585,2016-03-17,Eliezer Ronen,84,"Mexican-born Israeli politician, member of the Knesset (1974–1977)",,,
1586,2016-03-17,Frederick Moore,85,English cricketer (Lancashire).,,,
1587,2016-03-17,Trevor J. Phillips,89,British-born American philosopher.,,,
1588,2016-03-17,Bandar bin Saud bin Abdulaziz Al Saud,90,Saudi royal.,,,
1589,2016-03-17,André Boerstra,91,"Dutch field hockey player, Olympic silver medalist (1952), bronze medalist (1948)., Olympic silver medalist (1952), bronze medalist (1948).",,,
1590,2016-03-17,Shozo Awazu,92,Japanese judoka.,,,
1591,2016-03-17,E.L. Boteler,96,"American politician, member of the Mississippi House of Representatives (1956–1972)",,,
1592,2016-03-17,Cliff Michelmore,96,British television presenter and producer.,,,
1593,2016-03-17,Léonie Geisendorf,101,Polish-born Swedish architect.,,,
