index,date of death,name,age,bio,cause of death,Unnamed: 5,Unnamed: 6
70,2016-01-04,Robert Balser,88,"American animator (Yellow Submarine, Heavy Metal, The Jackson 5ive)", respiratory failure,,
71,2016-01-04,Tom Allin,28,English cricketer (Warwickshire), suicide by jumping,,
72,2016-01-04,Andres Rodriguez,31,"Venezuelan equestrian competitor, silver medalist at the 2015 Pan American Games", traffic collision,,
73,2016-01-04,Leo Rucka,84,American football player (San Francisco 49ers).,,,
74,2016-01-04,Donald J. Parsons,93,American Episcopal prelate,,,
75,2016-01-04,Colin Butler,102,British entomologist.,,,
76,2016-01-04,S. H. Kapadia,68,"Indian judge, Chief Justice (2010–2012)",,,
77,2016-01-04,Fernando Barrachina,68,Spanish footballer (Valencia CF).,,,
78,2016-01-04,John Roberts,69,"Welsh footballer (Arsenal, Birmingham, Wrexham).",,,
79,2016-01-04,Riley Martin,69,American author and radio host. ,,,
80,2016-01-04,Achim Mentzel,69,German musician and television presenter.,,,
81,2016-01-04,Gavriel Salomon,77,Israeli educational psychologist.,,,
82,2016-01-04,Robert Stigwood,81,"Australian band manager (Bee Gees, Cream) and film producer (Grease, Saturday Night Fever, Evita).",,,
83,2016-01-04,Red Parker,84,"American football coach (The Citadel, Clemson, Ole Miss).",,,
84,2016-01-04,Long John Hunter,84,American blues guitarist and singer-songwriter.,,,
85,2016-01-04,Jan Aronsson,84,Swedish footballer.,,,
86,2016-01-04,Joseph Ritz,86,American author and playwright.,,,
87,2016-01-04,Alexander O. Shirley,88,"British Virgin Islands civil servant and cricketer, Accountant General (1967–1987), namesake of the A. O. Shirley Recreation Ground.",,,
88,2016-01-04,Frank Armitage,91,"Australian-born American painter and animator (Mary Poppins, Lady and the Tramp, The Jungle Book).",,,
89,2016-01-04,Michel Galabru,93,"French actor (The Judge and the Assassin, La Cage aux Folles, Belle Époque).",,,
90,2016-01-04,André Turcat,94,French aviator.,,,
91,2016-01-04,Marjorie Pizer,95,Australian poet.,,,
92,2016-01-05,Elizabeth Swados,64,American composer and writer (Runaways), complications from surgery,,
93,2016-01-05,Tancrède Melet,32,French tightrope walker and base jumper, fall,,
94,2016-01-05,Mamdouh Abdel-Alim,59,Egyptian actor, heart attack,,
95,2016-01-05,Michael Purcell,70,Australian rugby union player.,,,
96,2016-01-05,Patrick Crofton,80,Canadian politician.,,,
97,2016-01-05,Lev Nikolayevich Korolyov,89,Russian computer scientist.,,,
98,2016-01-05,Rudolf Haag,93,German theoretical physicist.,,,
99,2016-01-05,Christine Lawrence Finney,47,"American painter and animator (Aladdin, The Lion King, Lilo & Stitch).",,,
100,2016-01-05,Antônio Pompêo,62,Brazilian actor.,,,
101,2016-01-05,Alex Timpson,69,British children's rights activist.,,,
102,2016-01-05,Percy Freeman,70,"English footballer (Lincoln City, West Bromwich Albion, Reading).",,,
103,2016-01-05,Norm Wolfinger,70,American State Attorney (1985–2013).,,,
104,2016-01-05,Nicholas Caldwell,71,American R&B singer (The Whispers).,,,
105,2016-01-05,George MacIntyre,76,American football player and coach (Vanderbilt).,,,
106,2016-01-05,Jean-Paul L'Allier,77,"Canadian politician, member of the National Assembly of Quebec (1970–1976), Mayor of Quebec City (1989–2005).",,,
107,2016-01-05,Jay Ritchie,79,"American baseball player (Boston Red Sox, Atlanta Braves, Cincinnati Reds)",,,
108,2016-01-05,Bob Armstrong,82,American basketball player (Philadelphia Warriors).,,,
109,2016-01-05,Uche Okeke,82,Nigerian artist.,,,
110,2016-01-05,Anatoly Roshchin,83,"Russian heavyweight wrestler, Olympic champion (1972)",,,
111,2016-01-05,Agapito Robleda Castro,83,Honduran politician.,,,
112,2016-01-05,John Freebairn,85,"Australian politician, member of the South Australian House of Assembly for Light (1962–1970)",,,
113,2016-01-05,Albert Gubay,87,British businessman (Kwik Save).,,,
114,2016-01-05,Gerry O'Malley,87,Irish Gaelic footballer (Roscommon).,,,
115,2016-01-05,María Lorenza Barreneche,89,"Argentine socialite, First Lady (1983–1989)",,,
116,2016-01-05,Pierre Boulez,90,French composer and conductor.,,,
